,Unnamed: 0,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
1,1,1646265600,11.99,11.13,12.3,10740567.0,123689458.34,11.52,multiply,BTC,2022-03-03
2,2,1646179200,12.59,10.81,11.78,15619499.0,192070432.27,12.3,multiply,BTC,2022-03-02
3,3,1646092800,12.5,11.76,11.09,10482090.0,123493304.64,11.78,multiply,BTC,2022-03-01
4,4,1646006400,11.4,10.73,10.82,7717571.0,85559965.16,11.09,multiply,BTC,2022-02-28
5,5,1645920000,11.77,10.74,12.13,9007265.0,97426220.21,10.82,multiply,BTC,2022-02-27
6,6,1645833600,12.35,11.49,10.53,6891765.0,83565606.04,12.13,multiply,BTC,2022-02-26
7,7,1645747200,10.54,9.165,9.25,9119574.0,96063559.44,10.53,multiply,BTC,2022-02-25
8,8,1645660800,10.11,8.962,10.69,13090971.0,121088334.6,9.25,multiply,BTC,2022-02-24
9,9,1645574400,11.21,10.58,9.793,7579330.0,81042932.97,10.69,multiply,BTC,2022-02-23
10,10,1645488000,9.84,9.41,10.35,7444262.0,72902811.61,9.793,multiply,BTC,2022-02-22
11,11,1645401600,11.45,10.31,11.65,7326346.0,75829027.89,10.35,multiply,BTC,2022-02-21
12,12,1645315200,12.14,11.43,12.33,6433971.0,74952145.0,11.65,multiply,BTC,2022-02-20
13,13,1645228800,12.5,12.05,12.26,3114877.0,38419796.36,12.33,multiply,BTC,2022-02-19
14,14,1645142400,12.66,12.18,12.58,4867255.0,59649353.27,12.26,multiply,BTC,2022-02-18
15,15,1645056000,13.12,12.46,13.44,6125731.0,77057528.29,12.58,multiply,BTC,2022-02-17
16,16,1644969600,13.62,13.13,12.66,4388518.0,58981700.87,13.44,multiply,BTC,2022-02-16
17,17,1644883200,12.83,12.16,12.55,5280626.0,66872137.5,12.66,multiply,BTC,2022-02-15
18,18,1644796800,12.76,12.08,12.41,5086820.0,63822595.0,12.55,multiply,BTC,2022-02-14
19,19,1644710400,12.91,12.39,11.88,4051824.0,50269192.68,12.41,multiply,BTC,2022-02-13
20,20,1644624000,11.95,11.54,12.44,7505916.0,89158392.21,11.88,multiply,BTC,2022-02-12
21,21,1644537600,13.51,12.34,14.0,5017756.0,62437306.21,12.44,multiply,BTC,2022-02-11
22,22,1644451200,14.77,13.83,14.79,6565553.0,91929666.93,14.0,multiply,BTC,2022-02-10
23,23,1644364800,14.99,14.38,14.29,4412019.0,65247219.5,14.79,multiply,BTC,2022-02-09
24,24,1644278400,15.18,14.25,15.81,7285053.0,104107842.75,14.29,multiply,BTC,2022-02-08
25,25,1644192000,16.61,15.18,14.18,13015701.0,205774157.91,15.81,multiply,BTC,2022-02-07
26,26,1644105600,14.37,13.81,12.79,4333594.0,61457694.32,14.18,multiply,BTC,2022-02-06
27,27,1644019200,13.41,12.7,13.92,6183217.0,79084243.56,12.79,multiply,BTC,2022-02-05
28,28,1643932800,14.5,13.83,13.55,6841347.0,95262585.34,13.92,multiply,BTC,2022-02-04
29,29,1643846400,13.67,13.16,13.53,7399768.0,100270323.95,13.55,multiply,BTC,2022-02-03
30,30,1643760000,14.16,13.45,14.16,6375344.0,86286339.78,13.53,multiply,BTC,2022-02-02
31,31,1643673600,14.74,13.93,12.85,8082363.0,114463225.39,14.16,multiply,BTC,2022-02-01
32,32,1643587200,13.18,12.53,13.61,9905096.0,127258588.94,12.85,multiply,BTC,2022-01-31
33,33,1643500800,14.43,13.57,14.0,6087384.0,82845106.54,13.61,multiply,BTC,2022-01-30
34,34,1643414400,14.68,13.89,14.09,9910127.0,138787114.22,14.0,multiply,BTC,2022-01-29
35,35,1643328000,14.26,13.68,13.78,13145516.0,185220320.44,14.09,multiply,BTC,2022-01-28
36,36,1643241600,15.12,13.61,15.25,19596361.0,270100752.41,13.78,multiply,BTC,2022-01-27
37,37,1643155200,16.59,14.95,15.68,21760555.0,331794062.36,15.25,multiply,BTC,2022-01-26
38,38,1643068800,16.28,14.57,15.62,20963101.0,328744556.86,15.68,multiply,BTC,2022-01-25
39,39,1642982400,15.95,14.54,15.21,22614104.0,353202661.6,15.62,multiply,BTC,2022-01-24
40,40,1642896000,15.97,13.48,17.95,24005031.0,365167246.19,15.21,multiply,BTC,2022-01-23
41,41,1642809600,20.8,16.65,15.5,33169316.0,595243277.21,17.95,multiply,BTC,2022-01-22
42,42,1642723200,16.81,14.55,17.45,19583032.0,303618362.44,15.5,multiply,BTC,2022-01-21
43,43,1642636800,18.59,17.37,18.05,9126290.0,159280110.49,17.45,multiply,BTC,2022-01-20
44,44,1642550400,19.44,17.97,19.02,12937347.0,233529161.23,18.05,multiply,BTC,2022-01-19
45,45,1642464000,19.33,17.87,19.58,12905725.0,245518978.74,19.02,multiply,BTC,2022-01-18
46,46,1642377600,22.16,19.56,21.64,13064114.0,255825199.71,19.58,multiply,BTC,2022-01-17
47,47,1642291200,21.74,19.27,19.39,14084740.0,304726588.5,21.64,multiply,BTC,2022-01-16
48,48,1642204800,19.51,18.36,19.4,7493900.0,145270344.83,19.39,multiply,BTC,2022-01-15
49,49,1642118400,20.2,18.91,20.61,11553554.0,224163271.01,19.4,multiply,BTC,2022-01-14
50,50,1642032000,21.14,18.68,19.5,18928845.0,390147239.12,20.61,multiply,BTC,2022-01-13
51,51,1641945600,20.03,17.63,15.98,18676780.0,364195466.51,19.5,multiply,BTC,2022-01-12
52,52,1641859200,16.02,13.85,13.61,14997061.0,239593415.84,15.98,multiply,BTC,2022-01-11
53,53,1641772800,15.14,13.54,15.76,13154094.0,179008619.11,13.61,multiply,BTC,2022-01-10
54,54,1641686400,16.31,14.84,14.23,11710251.0,184584555.46,15.76,multiply,BTC,2022-01-09
55,55,1641600000,16.57,13.94,16.88,19484319.0,277299024.04,14.23,multiply,BTC,2022-01-08
56,56,1641513600,18.21,16.78,18.49,7415296.0,125186880.37,16.88,multiply,BTC,2022-01-07
57,57,1641427200,19.51,17.79,19.56,11354462.0,209905291.14,18.49,multiply,BTC,2022-01-06
58,58,1641340800,19.75,17.57,18.92,22405658.0,438321433.16,19.56,multiply,BTC,2022-01-05
59,59,1641254400,19.55,18.29,18.9,14554139.0,275387328.58,18.92,multiply,BTC,2022-01-04
60,60,1641168000,18.91,15.52,15.87,15119309.0,285733252.33,18.9,multiply,BTC,2022-01-03
61,61,1641081600,16.58,15.63,16.49,8314980.0,131949904.92,15.87,multiply,BTC,2022-01-02
62,62,1640995200,16.52,14.8,15.48,10120484.0,166840457.85,16.49,multiply,BTC,2022-01-01
