,Unnamed: 0,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
1,1,1646265600,31.58,28.33,29.73,244631.54,7656192.85,31.3,multiply,ETH,2022-03-03
2,2,1646179200,30.05,27.55,28.57,98933.4,2941142.27,29.73,multiply,ETH,2022-03-02
3,3,1646092800,30.48,28.0,28.61,165786.81,4736496.52,28.57,multiply,ETH,2022-03-01
4,4,1646006400,28.95,27.01,24.84,245530.45,7024274.48,28.61,multiply,ETH,2022-02-28
5,5,1645920000,26.12,24.52,27.58,175549.73,4359958.5,24.84,multiply,ETH,2022-02-27
6,6,1645833600,27.97,25.04,25.28,314253.22,8667766.5,27.58,multiply,ETH,2022-02-26
7,7,1645747200,26.02,23.85,22.9,165552.11,4184770.94,25.28,multiply,ETH,2022-02-25
8,8,1645660800,23.51,21.79,23.2,223297.61,5114061.19,22.9,multiply,ETH,2022-02-24
9,9,1645574400,23.99,22.19,23.02,250211.28,5805044.99,23.2,multiply,ETH,2022-02-23
10,10,1645488000,23.06,22.38,21.84,218880.7,5037738.27,23.02,multiply,ETH,2022-02-22
11,11,1645401600,23.47,21.74,24.02,214466.55,4683330.0,21.84,multiply,ETH,2022-02-21
12,12,1645315200,24.41,23.03,24.42,234137.63,5624508.7,24.02,multiply,ETH,2022-02-20
13,13,1645228800,24.67,24.25,24.8,302487.24,7386880.2,24.42,multiply,ETH,2022-02-19
14,14,1645142400,25.5,24.69,25.82,233663.11,5794923.79,24.8,multiply,ETH,2022-02-18
15,15,1645056000,26.75,24.08,26.51,300184.13,7750617.51,25.82,multiply,ETH,2022-02-17
16,16,1644969600,26.72,26.11,26.9,235459.99,6242158.12,26.51,multiply,ETH,2022-02-16
17,17,1644883200,28.2,26.76,25.14,212755.0,5722056.96,26.9,multiply,ETH,2022-02-15
18,18,1644796800,25.62,24.24,24.39,251540.75,6323160.02,25.14,multiply,ETH,2022-02-14
19,19,1644710400,25.13,24.26,24.99,220219.95,5371493.94,24.39,multiply,ETH,2022-02-13
20,20,1644624000,25.99,24.07,24.56,238891.92,5969601.77,24.99,multiply,ETH,2022-02-12
21,21,1644537600,25.71,24.44,27.01,205162.28,5039240.48,24.56,multiply,ETH,2022-02-11
22,22,1644451200,27.57,26.49,28.61,203958.31,5507908.14,27.01,multiply,ETH,2022-02-10
23,23,1644364800,29.82,28.44,28.34,212050.28,6066404.31,28.61,multiply,ETH,2022-02-09
24,24,1644278400,29.78,28.24,29.33,175799.54,4982747.47,28.34,multiply,ETH,2022-02-08
25,25,1644192000,31.1,29.05,28.93,242431.68,7109979.9,29.33,multiply,ETH,2022-02-07
26,26,1644105600,30.04,28.71,28.62,201537.78,5831179.89,28.93,multiply,ETH,2022-02-06
27,27,1644019200,29.88,28.26,28.72,231881.56,6636681.2,28.62,multiply,ETH,2022-02-05
28,28,1643932800,30.83,27.95,27.23,229570.11,6594383.34,28.72,multiply,ETH,2022-02-04
29,29,1643846400,28.0,23.75,24.34,273805.09,7454799.95,27.23,multiply,ETH,2022-02-03
30,30,1643760000,25.82,24.27,26.65,373593.93,9094327.18,24.34,multiply,ETH,2022-02-02
31,31,1643673600,27.99,26.47,26.16,246017.53,6557336.73,26.65,multiply,ETH,2022-02-01
32,32,1643587200,27.12,25.61,25.51,275703.02,7213574.32,26.16,multiply,ETH,2022-01-31
33,33,1643500800,27.34,25.29,27.06,236636.22,6036005.48,25.51,multiply,ETH,2022-01-30
34,34,1643414400,28.53,26.69,27.51,258690.91,6999124.55,27.06,multiply,ETH,2022-01-29
35,35,1643328000,29.51,27.16,28.04,299075.02,8228183.77,27.51,multiply,ETH,2022-01-28
36,36,1643241600,30.05,27.7,30.02,278130.2,7797976.47,28.04,multiply,ETH,2022-01-27
37,37,1643155200,33.43,29.6,33.06,355974.99,10684665.47,30.02,multiply,ETH,2022-01-26
38,38,1643068800,34.97,32.61,33.12,427443.2,14132044.54,33.06,multiply,ETH,2022-01-25
39,39,1642982400,34.2,29.46,31.4,440398.13,14585615.51,33.12,multiply,ETH,2022-01-24
40,40,1642896000,32.3,28.13,26.66,520882.36,16355683.71,31.4,multiply,ETH,2022-01-23
41,41,1642809600,29.6,25.93,31.54,382392.15,10193233.48,26.66,multiply,ETH,2022-01-22
42,42,1642723200,32.13,29.43,35.79,453234.34,14295686.86,31.54,multiply,ETH,2022-01-21
43,43,1642636800,35.87,32.85,34.13,433815.58,15526045.39,35.79,multiply,ETH,2022-01-20
44,44,1642550400,34.93,33.02,35.28,288799.03,9856278.91,34.13,multiply,ETH,2022-01-19
45,45,1642464000,36.01,34.06,35.87,291669.11,10289516.75,35.28,multiply,ETH,2022-01-18
46,46,1642377600,39.21,35.48,39.95,345565.41,12394140.4,35.87,multiply,ETH,2022-01-17
47,47,1642291200,40.38,35.93,35.97,312433.26,12483228.6,39.95,multiply,ETH,2022-01-16
48,48,1642204800,37.74,35.97,36.98,219869.58,7908389.54,35.97,multiply,ETH,2022-01-15
49,49,1642118400,37.17,34.54,34.37,228650.75,8456561.26,36.98,multiply,ETH,2022-01-14
50,50,1642032000,36.3,34.34,36.95,171207.85,5884200.51,34.37,multiply,ETH,2022-01-13
51,51,1641945600,39.93,36.8,35.83,119655.64,4421714.89,36.95,multiply,ETH,2022-01-12
52,52,1641859200,38.05,34.9,35.15,124778.64,4471194.83,35.83,multiply,ETH,2022-01-11
53,53,1641772800,35.69,31.48,32.17,141069.13,4958219.85,35.15,multiply,ETH,2022-01-10
54,54,1641686400,35.1,32.03,33.29,137801.04,4433505.79,32.17,multiply,ETH,2022-01-09
55,55,1641600000,35.43,32.43,35.46,119677.07,3983846.78,33.29,multiply,ETH,2022-01-08
56,56,1641513600,40.76,34.07,36.92,219948.48,7798889.21,35.46,multiply,ETH,2022-01-07
57,57,1641427200,37.61,32.73,35.89,154776.93,5713774.06,36.92,multiply,ETH,2022-01-06
58,58,1641340800,37.17,33.16,38.55,186372.11,6688359.17,35.89,multiply,ETH,2022-01-05
59,59,1641254400,39.67,34.87,36.01,188102.79,7252124.8,38.55,multiply,ETH,2022-01-04
60,60,1641168000,36.53,31.26,32.4,118857.44,4279853.26,36.01,multiply,ETH,2022-01-03
61,61,1641081600,33.98,31.55,32.97,100195.28,3245887.24,32.4,multiply,ETH,2022-01-02
62,62,1640995200,33.74,30.09,29.65,147102.6,4849745.54,32.97,multiply,ETH,2022-01-01
63,63,1640908800,30.1,27.42,27.77,172588.29,5117653.31,29.65,multiply,ETH,2021-12-31
64,64,1640822400,27.84,25.08,25.7,155978.59,4331548.53,27.77,multiply,ETH,2021-12-30
