,Unnamed: 0,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
1,1,1646265600,0.7828,0.7391,0.7462,10236.03,7671.96,0.7495,invert_divide,ETH,2022-03-03
2,2,1646179200,0.7733,0.7395,0.75,16183.78,12076.08,0.7462,invert_divide,ETH,2022-03-02
3,3,1646092800,0.7618,0.7158,0.7451,17188.07,12891.5,0.75,invert_divide,ETH,2022-03-01
4,4,1646006400,0.7507,0.6587,0.7486,18668.64,13910.87,0.7451,invert_divide,ETH,2022-02-28
5,5,1645920000,0.808,0.734,0.7456,14483.65,10843.13,0.7486,invert_divide,ETH,2022-02-27
6,6,1645833600,0.7718,0.7332,0.7454,8171.38,6092.33,0.7456,invert_divide,ETH,2022-02-26
7,7,1645747200,0.7633,0.6945,0.7476,17164.55,12794.22,0.7454,invert_divide,ETH,2022-02-25
8,8,1645660800,0.7792,0.6573,0.7376,40043.5,29937.43,0.7476,invert_divide,ETH,2022-02-24
9,9,1645574400,0.785,0.737,0.7362,14150.21,10437.05,0.7376,invert_divide,ETH,2022-02-23
10,10,1645488000,0.7459,0.6981,0.736,15709.34,11564.47,0.7362,invert_divide,ETH,2022-02-22
11,11,1645401600,0.7887,0.7343,0.7365,21760.64,16015.23,0.736,invert_divide,ETH,2022-02-21
12,12,1645315200,0.7762,0.7236,0.7364,10815.6,7965.95,0.7365,invert_divide,ETH,2022-02-20
13,13,1645228800,0.7538,0.7186,0.736,8408.59,6191.8,0.7364,invert_divide,ETH,2022-02-19
14,14,1645142400,0.7766,0.7291,0.7349,16435.36,12096.2,0.736,invert_divide,ETH,2022-02-18
15,15,1645056000,0.8036,0.7249,0.7371,21208.35,15586.03,0.7349,invert_divide,ETH,2022-02-17
16,16,1644969600,0.754,0.7196,0.7389,10945.19,8067.29,0.7371,invert_divide,ETH,2022-02-16
17,17,1644883200,0.7413,0.6763,0.7386,14409.02,10646.13,0.7389,invert_divide,ETH,2022-02-15
18,18,1644796800,0.7473,0.7125,0.7375,13697.7,10117.62,0.7386,invert_divide,ETH,2022-02-14
19,19,1644710400,0.7592,0.7292,0.7384,9214.81,6795.86,0.7375,invert_divide,ETH,2022-02-13
20,20,1644624000,0.755,0.7239,0.7378,9227.99,6813.6,0.7384,invert_divide,ETH,2022-02-12
21,21,1644537600,0.79,0.7255,0.7378,22567.92,16650.61,0.7378,invert_divide,ETH,2022-02-11
22,22,1644451200,0.7868,0.7348,0.7389,21019.38,15508.01,0.7378,invert_divide,ETH,2022-02-10
23,23,1644364800,0.7449,0.6958,0.7386,13087.37,9670.73,0.7389,invert_divide,ETH,2022-02-09
24,24,1644278400,0.7639,0.7152,0.7394,2237.22,1651.93,0.7384,invert_divide,BTC,2022-02-08
25,25,1644192000,0.7515,0.7031,0.7398,1940.09,1434.43,0.7394,invert_divide,BTC,2022-02-07
26,26,1644105600,0.7447,0.7174,0.7385,829.73,613.85,0.7398,invert_divide,BTC,2022-02-06
27,27,1644019200,0.7481,0.7306,0.7394,1269.57,937.62,0.7385,invert_divide,BTC,2022-02-05
28,28,1643932800,0.7424,0.656,0.735,2151.49,1590.83,0.7394,invert_divide,BTC,2022-02-04
29,29,1643846400,0.7359,0.7139,0.7374,1522.68,1119.11,0.735,invert_divide,BTC,2022-02-03
30,30,1643760000,0.7789,0.7306,0.738,1472.88,1086.09,0.7374,invert_divide,BTC,2022-02-02
31,31,1643673600,0.7495,0.726,0.7437,1729.25,1276.25,0.738,invert_divide,BTC,2022-02-01
32,32,1643587200,0.7487,0.7112,0.7474,1998.66,1486.5,0.7437,invert_divide,BTC,2022-01-31
33,33,1643500800,0.7572,0.7374,0.7472,913.73,682.94,0.7474,invert_divide,BTC,2022-01-30
34,34,1643414400,0.758,0.7307,0.7452,1045.98,781.58,0.7472,invert_divide,BTC,2022-01-29
35,35,1643328000,0.7494,0.6926,0.7472,19719.45,14721.53,0.7465,invert_divide,ETH,2022-01-28
36,36,1643241600,0.7764,0.7145,0.7435,22495.03,16808.14,0.7472,invert_divide,ETH,2022-01-27
37,37,1643155200,0.8186,0.7256,0.7407,29931.05,22252.57,0.7435,invert_divide,ETH,2022-01-26
38,38,1643068800,0.7532,0.7172,0.7426,1918.95,1420.69,0.7403,invert_divide,BTC,2022-01-25
39,39,1642982400,0.7689,0.6575,0.7389,54905.78,40747.96,0.7421,invert_divide,ETH,2022-01-24
40,40,1642896000,0.7431,0.7058,0.7403,2248.66,1660.47,0.7384,invert_divide,BTC,2022-01-23
41,41,1642809600,0.8043,0.707,0.7398,53725.56,39742.66,0.7397,invert_divide,ETH,2022-01-22
42,42,1642723200,0.8304,0.7196,0.7355,4181.09,3091.56,0.7394,invert_divide,BTC,2022-01-21
43,43,1642636800,0.7824,0.7332,0.7349,1410.25,1037.18,0.7355,invert_divide,BTC,2022-01-20
44,44,1642550400,0.75,0.7262,0.7359,1393.47,1024.1,0.7349,invert_divide,BTC,2022-01-19
